ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
sparrow,turtle,rat,whale,spider,elephant,horse,mouse,pigeon,"['stim8', 'stim2', 'stim7', 'stim1', 'stim6', 'stim5', 'stim4', 'stim3']","['pigeon', 'rat', 'mouse', 'turtle', 'horse', 'elephant', 'spider', 'whale']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
lizard,mouse,owl,pigeon,cat,duck,ladybug,tiger,dolphin,"['stim1', 'stim4', 'stim5', 'stim2', 'stim3', 'stim6', 'stim8', 'stim7']","['mouse', 'cat', 'duck', 'owl', 'pigeon', 'ladybug', 'dolphin', 'tiger']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
ladybug,turkey,horse,crocodile,bluebird,cow,sparrow,butterfly,goldfish,"['stim7', 'stim8', 'stim6', 'stim4', 'stim3', 'stim1', 'stim5', 'stim2']","['butterfly', 'goldfish', 'sparrow', 'bluebird', 'crocodile', 'turkey', 'cow', 'horse']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
mouse,elephant,bat,turkey,giraffe,dog,spider,frog,ant,"['stim2', 'stim5', 'stim4', 'stim1', 'stim7', 'stim3', 'stim8', 'stim6']","['bat', 'dog', 'giraffe', 'elephant', 'frog', 'turkey', 'ant', 'spider']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
shark,goldfish,hog,tiger,ladybug,dolphin,horse,turtle,cow,"['stim5', 'stim3', 'stim6', 'stim8', 'stim2', 'stim7', 'stim1', 'stim4']","['dolphin', 'tiger', 'horse', 'cow', 'hog', 'turtle', 'goldfish', 'ladybug']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
sheep,pigeon,whale,fox,lizard,giraffe,horse,eagle,ladybug,"['stim6', 'stim3', 'stim5', 'stim4', 'stim2', 'stim7', 'stim1', 'stim8']","['horse', 'fox', 'giraffe', 'lizard', 'whale', 'eagle', 'pigeon', 'ladybug']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
monkey,frog,sheep,dog,cat,horse,pigeon,owl,snake,"['stim5', 'stim3', 'stim4', 'stim2', 'stim7', 'stim6', 'stim8', 'stim1']","['horse', 'dog', 'cat', 'sheep', 'owl', 'pigeon', 'snake', 'frog']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
crocodile,pigeon,monkey,eagle,fox,bat,mouse,dog,dolphin,"['stim6', 'stim4', 'stim7', 'stim5', 'stim8', 'stim3', 'stim1', 'stim2']","['mouse', 'fox', 'dog', 'bat', 'dolphin', 'eagle', 'pigeon', 'monkey']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
cat,lizard,ladybug,whale,owl,bat,rat,pigeon,bluebird,"['stim6', 'stim5', 'stim1', 'stim3', 'stim4', 'stim7', 'stim8', 'stim2']","['rat', 'bat', 'lizard', 'whale', 'owl', 'pigeon', 'bluebird', 'ladybug']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
lizard,cow,bear,dog,fox,shark,snail,bat,hog,"['stim6', 'stim7', 'stim8', 'stim1', 'stim4', 'stim3', 'stim2', 'stim5']","['snail', 'bat', 'hog', 'cow', 'fox', 'dog', 'bear', 'shark']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
